Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
17005_DNAm_R1_val_1	17005_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71536265.0	0.0	20-80	24.0	80.23446982651609	69.68336079609412	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	fail
17005_DNAm_R2_val_2	17005_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71536265.0	0.0	20-80	24.0	79.23912617008436	69.71488240265269	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	warn
17007_DNAm_R1_val_1	17007_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54801758.0	0.0	20-80	27.0	84.31818640937195	66.0781873822369	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass	fail
17007_DNAm_R2_val_2	17007_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54801758.0	0.0	20-80	26.0	84.06495685063668	66.13304215532648	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass	fail
17013_DNAm_R1_val_1	17013_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67314673.0	0.0	20-80	25.0	84.11842903751173	69.13285607136501	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	fail
17013_DNAm_R2_val_2	17013_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67314673.0	0.0	20-80	25.0	83.2840635735703	69.18585369938587	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	fail
17019_DNAm_R1_val_1	17019_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61660522.0	0.0	20-80	25.0	85.16158974902224	68.01002044711849	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	warn
17019_DNAm_R2_val_2	17019_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61660522.0	0.0	20-80	25.0	84.43739642041727	68.03313380966837	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	fail
17069_DNAm_R1_val_1	17069_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61162690.0	0.0	20-80	25.0	85.45505245930754	69.40287453020788	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17069_DNAm_R2_val_2	17069_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61162690.0	0.0	20-80	25.0	84.34994588641902	69.46419750341262	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17070_DNAm_R1_val_1	17070_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47513089.0	0.0	20-80	25.0	86.70053657145182	68.75807266498711	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
17070_DNAm_R2_val_2	17070_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47513089.0	0.0	20-80	25.0	86.27352418343439	68.87278029849838	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17072_DNAm_R1_val_1	17072_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56247016.0	0.0	20-80	25.0	85.72894343944643	69.93826634287586	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17072_DNAm_R2_val_2	17072_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56247016.0	0.0	20-80	25.0	84.86959356677082	70.03474232304164	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17079_DNAm_R1_val_1	17079_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52423567.0	0.0	20-80	25.0	85.7296897905352	69.77108471081337	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17079_DNAm_R2_val_2	17079_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52423567.0	0.0	20-80	25.0	85.06036192690405	69.85532571639011	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
17090_DNAm_R1_val_1	17090_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67484469.0	0.0	20-80	25.0	82.52192013355796	70.33804963331637	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass	fail
17090_DNAm_R2_val_2	17090_DNAm_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67484469.0	0.0	20-80	25.0	82.04271516137193	70.45878218290493	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass	fail
17094_DNAm_R1_val_1	17094_DNAm_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67619938.0	0.0	20-80	26.0	85.2292295527221	66.6549574476096	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass	warn
