Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
17005_DNAm_R1	72551609	27672475	6540819384	15142667	6492511807	0.7385554341734136
17005_DNAm_R2	72551609	28113041	6544290307	18268364	6491906232	0.8004546336211305
17007_DNAm_R1	55979003	20940820	4829636433	12474736	4790844758	0.8032007282151459
17007_DNAm_R2	55979003	20616613	4833643386	14627012	4792313874	0.8550385020066932
17013_DNAm_R1	68288674	25641624	6118850330	14590250	6072893437	0.751070716253326
17013_DNAm_R2	68288674	25839170	6123193219	16649838	6074620304	0.7932611835484854
17019_DNAm_R1	62737724	23708818	5542867215	12643464	5500691986	0.7608919240545076
17019_DNAm_R2	62737724	23824144	5546242723	15515090	5500023153	0.8333492115000608
17069_DNAm_R1	62067580	23494531	5574753716	11301940	5534269304	0.7262098751341503
17069_DNAm_R2	62067580	23782467	5579964519	12287206	5537360797	0.7635124175957149
17070_DNAm_R1	48198556	18253849	4300553811	9604185	4267836026	0.7607807375020892
17070_DNAm_R2	48198556	18208424	4306437699	9375309	4273501853	0.7648048875210258
17072_DNAm_R1	56978168	21894328	5153552641	10616331	5115844666	0.7316889459905296
17072_DNAm_R2	56978168	21970566	5159563373	10746964	5121081680	0.745832354756504
17079_DNAm_R1	53112851	20476215	4794356491	9429450	4759534152	0.726319352041692
17079_DNAm_R2	53112851	20479523	4799622868	9975118	4763694737	0.7485615430233007
17090_DNAm_R1	68259159	26167278	6207138866	13892537	6161214789	0.7398590234794338
17090_DNAm_R2	68259159	26173010	6215616874	14320442	6169065401	0.748943732274191
17094_DNAm_R1	69006587	25831102	5997445501	15785960	5948206715	0.8209959722316784
17094_DNAm_R2	69006587	25823693	6006133591	16865652	5954385403	0.8615890275491542
17099_DNAm_R1	44514030	17889363	4017808074	10065073	3984355511	0.832607291933079
17099_DNAm_R2	44514030	17757642	4028421527	12348909	3992030164	0.9033653195449225
17108_DNAm_R1	65752084	24888018	5825674358	13237451	5780984203	0.7671241517066615
17108_DNAm_R2	65752084	24939687	5832318113	14894917	5785110983	0.8094059529225133
17122_DNAm_R1	38038693	14446298	3434431819	6808137	3409601652	0.722977432908532
17122_DNAm_R2	38038693	14746422	3438089155	6991963	3412309881	0.749814005332273
17130_DNAm_R1	60810747	23236265	5499388372	13383860	5458070399	0.7513194232720395
17130_DNAm_R2	60810747	23706070	5503133770	13831165	5460589077	0.7730993789743912
17142_DNAm_R1	64618465	25208545	5866005832	13136534	5822312590	0.7448550726227781
17142_DNAm_R2	64618465	25556585	5870325457	13961007	5824608117	0.778787144509763
17145_DNAm_R1	68158807	26453509	6110143493	13082599	6063948805	0.7560327847115587
17145_DNAm_R2	68158807	26374462	6116838889	14548937	6068349248	0.7927238542639994
17162_DNAm_R1	63263055	24561475	5729906883	14537368	5685316043	0.7782122975208565
17162_DNAm_R2	63263055	24779129	5734463306	15849022	5687496976	0.819018755440616
17174_DNAm_R1	65475785	25649596	5944243826	16847166	5895608003	0.818200336723536
17174_DNAm_R2	65475785	25521493	5951054113	17671905	5900841485	0.8437602321630914
17176_DNAm_R1	70319323	27252004	6377962887	16978736	6326979494	0.7993679785110985
17176_DNAm_R2	70319323	27496972	6385684273	18197394	6332541997	0.8322095757959188
17178_DNAm_R1	62827245	24992074	5754461212	14278828	5708761878	0.7941548707410073
17178_DNAm_R2	62827245	24783457	5763931121	15509555	5716155339	0.828874963927592
17181_DNAm_R1	66773626	26263474	6090086860	13343421	6044143982	0.7543878939027152
17181_DNAm_R2	66773626	26303201	6097962070	14180830	6050414227	0.7797333347467017
17203_DNAm_R1	58167997	22459236	5249465266	13148286	5208139712	0.7872335924891135
17203_DNAm_R2	58167997	22491930	5255925492	13602817	5213276150	0.8114525608271312
17211_DNAm_R1	57554820	22702462	5264884349	11784341	5224746304	0.762372776671224
17211_DNAm_R2	57554820	22595138	5272575740	12378820	5230991540	0.7886885281613801
17213_DNAm_R1	52393312	20523176	4775415296	10581387	4738936894	0.7638791547733066
17213_DNAm_R2	52393312	20601604	4783210833	11209376	4745131989	0.7960937815512763
