Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
17005_DNAm_R1	0.43774879444064463					
17005_DNAm_R1_val_1		19.723688100224777	24.0	70.02945660465859	8.333333333333332	71574169.0
17005_DNAm_R2	0.4893664782221588					
17005_DNAm_R2_val_2		20.699302876171345	24.0	70.07990139571163	8.333333333333332	71574169.0
17007_DNAm_R1	0.8032007282151459					
17007_DNAm_R1_val_1		15.681813590628053	27.0	66.0781873822369	8.333333333333332	54801758.0
17007_DNAm_R2	0.8550385020066932					
17007_DNAm_R2_val_2		15.935043149363324	26.0	66.13304215532648	8.333333333333332	54801758.0
17013_DNAm_R1	0.8621362863111574					
17013_DNAm_R1_val_1		15.72058906092127	25.0	68.86317840147679	8.333333333333332	67546470.0
17013_DNAm_R2	0.5875307656202837					
17013_DNAm_R2_val_2		16.641626464233127	25.0	69.3350331112788	8.333333333333332	67546470.0
17019_DNAm_R1	0.7608919240545076					
17019_DNAm_R1_val_1		14.83841025097776	25.0	68.01002044711849	0.0	61660522.0
17019_DNAm_R2	0.8333492115000608					
17019_DNAm_R2_val_2		15.562603579582728	25.0	68.03313380966837	8.333333333333332	61660522.0
17069_DNAm_R1	0.7262098751341503					
17069_DNAm_R1_val_1		14.544947540692462	25.0	69.40287453020788	8.333333333333332	61162690.0
17069_DNAm_R2	0.7635124175957149					
17069_DNAm_R2_val_2		15.650054113580978	25.0	69.46419750341262	8.333333333333332	61162690.0
17070_DNAm_R1	0.435731671397054					
17070_DNAm_R1_val_1		13.278285826392192	25.0	69.0884397863189	0.0	47561716.0
17070_DNAm_R2	0.4368591470478858					
17070_DNAm_R2_val_2		13.653827398377643	25.0	69.21390363627755	8.333333333333332	47561716.0
17072_DNAm_R1	0.7316889459905296					
17072_DNAm_R1_val_1		14.271056560553575	25.0	69.93826634287586	8.333333333333332	56247016.0
17072_DNAm_R2	0.745832354756504					
17072_DNAm_R2_val_2		15.130406433229183	25.0	70.03474232304164	8.333333333333332	56247016.0
17079_DNAm_R1	0.726319352041692					
17079_DNAm_R1_val_1		14.270310209464796	25.0	69.77108471081337	8.333333333333332	52423567.0
17079_DNAm_R2	0.7485615430233007					
17079_DNAm_R2_val_2		14.93963807309595	25.0	69.85532571639011	8.333333333333332	52423567.0
17090_DNAm_R1	0.7398590234794338					
17090_DNAm_R1_val_1		17.478079866442044	25.0	70.33804963331637	8.333333333333332	67484469.0
17090_DNAm_R2	0.748943732274191					
17090_DNAm_R2_val_2		17.95728483862807	25.0	70.45878218290493	8.333333333333332	67484469.0
17094_DNAm_R1	0.8982682042048955					
17094_DNAm_R1_val_1		14.610716604969042	26.0	66.3424724816212	8.333333333333332	67980113.0
17094_DNAm_R2	0.6383367339256374					
17094_DNAm_R2_val_2		15.506721011148457	26.0	66.81419973514902	0.0	67980113.0
17099_DNAm_R1	0.832607291933079					
17099_DNAm_R1_val_1		38.21634518718031	23.0	70.13386181150247	8.333333333333332	43525229.0
17099_DNAm_R2	0.9033653195449225					
17099_DNAm_R2_val_2		38.472183915171655	23.0	70.34930412428157	0.0	43525229.0
17108_DNAm_R1	0.7671241517066615					
17108_DNAm_R1_val_1		14.273747626275664	25.0	68.19535049396684	8.333333333333332	64710315.0
17108_DNAm_R2	0.8094059529225133					
17108_DNAm_R2_val_2		15.042724910465722	25.0	68.27464950526048	8.333333333333332	64710315.0
17122_DNAm_R1	0.722977432908532					
17122_DNAm_R1_val_1		23.77633891175654	24.0	69.76872036330438	0.0	37573563.0
17122_DNAm_R2	0.749814005332273					
17122_DNAm_R2_val_2		24.267207154620166	24.0	69.83401957381577	8.333333333333332	37573563.0
17130_DNAm_R1	0.7513194232720395					
17130_DNAm_R1_val_1		15.465739338835562	24.0	69.91868519130986	8.333333333333332	60009217.0
17130_DNAm_R2	0.7730993789743912					
17130_DNAm_R2_val_2		16.780344028742704	24.0	69.97975341021363	8.333333333333332	60009217.0
17142_DNAm_R1	0.42232706051629443					
17142_DNAm_R1_val_1		12.546274474590462	23.0	70.60193847410885	8.333333333333332	63849705.0
17142_DNAm_R2	0.442979715357884					
17142_DNAm_R2_val_2		13.822433255961315	23.0	70.6775367247194	8.333333333333332	63849705.0
17145_DNAm_R1	0.7560327847115587					
17145_DNAm_R1_val_1		12.763081182874373	25.0	69.1373553994916	8.333333333333332	67234117.0
17145_DNAm_R2	0.7927238542639994					
17145_DNAm_R2_val_2		13.266395688104353	24.0	69.21309400107091	8.333333333333332	67234117.0
17162_DNAm_R1	0.7782122975208565					
17162_DNAm_R1_val_1		14.507163069779025	24.0	70.00487026470617	8.333333333333332	62449583.0
17162_DNAm_R2	0.819018755440616					
17162_DNAm_R2_val_2		15.130533204009637	24.0	70.0622415044789	8.333333333333332	62449583.0
17174_DNAm_R1	0.818200336723536					
17174_DNAm_R1_val_1		14.000510492447646	25.0	70.20363997524483	8.333333333333332	64587692.0
17174_DNAm_R2	0.8437602321630914					
17174_DNAm_R2_val_2		14.467525070980798	25.0	70.30626290222601	8.333333333333332	64587692.0
17176_DNAm_R1	0.7993679785110985					
17176_DNAm_R1_val_1		13.8011517454609	25.0	70.1263169564293	8.333333333333332	69384319.0
17176_DNAm_R2	0.8322095757959188					
17176_DNAm_R2_val_2		14.51566427371229	25.0	70.22512787075131	8.333333333333332	69384319.0
17178_DNAm_R1	0.7941548707410073					
17178_DNAm_R1_val_1		13.608495694564908	24.0	70.99265858868901	8.333333333333332	62028809.0
17178_DNAm_R2	0.828874963927592					
17178_DNAm_R2_val_2		13.781244076229655	24.0	71.11926031015685	8.333333333333332	62028809.0
17181_DNAm_R1	0.7543878939027152					
17181_DNAm_R1_val_1		12.676841329782349	24.0	70.65342755257849	8.333333333333332	65931753.0
17181_DNAm_R2	0.7797333347467017					
17181_DNAm_R2_val_2		13.432400855553112	24.0	70.75702052090136	0.0	65931753.0
17203_DNAm_R1	0.7872335924891135					
17203_DNAm_R1_val_1		13.030379447964904	25.0	69.72680960685709	8.333333333333332	57353825.0
17203_DNAm_R2	0.8114525608271312					
17203_DNAm_R2_val_2		13.910203656884093	25.0	69.82669058253744	8.333333333333332	57353825.0
17211_DNAm_R1	0.4383087921842593					
17211_DNAm_R1_val_1		14.025660818571794	25.0	71.25932065776608	8.333333333333332	56892444.0
17211_DNAm_R2	0.4467979629250428					
17211_DNAm_R2_val_2		14.543439949896566	25.0	71.39802195876837	0.0	56892444.0
17213_DNAm_R1	0.7638791547733066					
17213_DNAm_R1_val_1		14.506486045858452	25.0	70.60248039057657	8.333333333333332	51709195.0
17213_DNAm_R2	0.7960937815512763					
