ID,shelf,tank,pCO2,EPF_DIC,EPF_pH,EPF_Salinity,EPF_Calcite_Calc,EPF_TA_Calc
17024,1,2,400,815.49,7.426769053,32.081,0.38,821.8
17046,3,1,900,4410.79,7.449713595,32.081,2.17,4375.5
17056,6,3,2800,9972.79,7.736520368,32.081,9.77,10248.4
17064,3,2,900,18474.18,7.357935427,32.081,7.26,18037.8
17077,1,1,400,4885.67,7.254684989,32.081,1.49,4707.5
17096,4,3,2800,14466.14,7.719311962,32.081,13.61,14814.7
17097,6,1,2800,2022,7.552964033,32.081,1.28,2047.8
17109,2,2,400,124.25,7.719311962,32.081,0.12,162.6
17127,3,3,900,386.18,7.524283356,32.081,0.23,408.4
17150,2,3,400,13262.53,7.111281602,32.081,2.83,12443.5
17165,1,3,400,6866.36,8.06348009,32.081,14.03,7465.9
17191,2,1,400,9784.68,7.604589253,32.081,7.01,9880.1
17197,4,1,2800,4953.48,7.409560646,32.081,2.21,4884.1
17205,6,2,2800,15966.84,7.604589253,32.081,11.44,16104.9
17031,5,1,900,10426.5,7.201535122,32.081,2.78,9945.2
17108,6,3,2800,25962.33,7.633396097,32.081,19.94,26265.3
17122,4,1,2800,23375.76,7.857963804,32.081,30.34,24386.2
17135,5,2,900,3646.09,7.316698049,32.081,1.30,3550.9
17154,3,1,900,13044.99,7.477926146,32.081,6.88,12949.6
17162,2,3,400,11197.18,7.570056487,32.081,7.38,11252.0
17176,2,1,400,24227.87,7.132437366,32.081,5.45,22814.9
17181,4,2,2800,11173.48,7.506716878,32.081,6.32,11136.6
17053,4,1,2800,6808.44,7.517241379,32.081,3.95,6804.2
17012,3,1,900,3788.05,7.472590883,32.081,1.97,3772.6
17027,3,2,900,12641.7,7.55914599,32.081,8.12,12682.4
17079,2,3,400,40331.78,7.449509521,32.081,19.84,39846.2
17094,6,2,2800,18681.6,7.172533179,32.081,4.64,17721.9
17178,4,2,2800,24352.71,7.091748413,32.081,4.95,22754.4
17208,5,2,900,14585.33,7.189844201,32.081,3.78,13879.9
17213,4,1,2800,15966.84,6.872475476,32.081,1.86,14155.7
17005,1,1,400,14013.93,6.84675835,32.081,1.52,12330.4
17043,1,2,400,8373.77,7.277013752,32.081,2.70,8087.4
17062,2,1,400,3627.2,7.78978389,32.081,4.01,3781.9
17068,2,2,400,21167.14,7.16502947,32.081,5.16,20051.9
17089,2,3,400,3898.93,7.353634578,32.081,1.52,3817.2
17123,4,2,2800,5367.05,7.141453831,32.081,1.23,5070.2
17126,4,3,2800,4015.68,7.63064833,32.081,3.06,4086.0
17153,5,2,900,10188.84,7.129666012,32.081,2.28,9595.3
17156,5,3,900,25944.99,7.353634578,32.081,10.09,25310.4
17159,6,1,2800,28372.89,6.99410609,32.081,4.50,25959.3
17168,6,2,2800,24120.39,7.330058939,32.081,8.85,23453.0
17004,6,3,2800,2665.79,7.359558,31.679,1.05,2616.1
17021,2,2,400,2701.40137802222,7.867103,31.959,3.55,2864.2
17033,2,3,400,6735.71,7.867103,29.402,8.46,7037.9
17038,5,3,900,2963.05453246318,7.70727,32.081,2.70,3057.2
17057,4,1,2800,5128.22,7.369241,31.639,2.06,5024.6
17058,4,1,2800,6244.43931835156,7.369241,32.081,2.52,6117.5
17074,1,3,400,2846.53383159686,7.889571,34.579,4.11,3045.1
17081,2,1,400,599.09,7.907222,32.105,0.86,681.1
17105,1,2,400,2764.75,7.916714,31.555,4.04,2954.2
17115,1,2,400,2468.16804496879,7.916714,32.081,3.64,2646.3
17118,1,1,400,2605.99670783896,7.893875,32.081,3.65,2779.1
17139,5,1,900,292.53,7.70727,32.632,0.27,334.2
17161,3,1,900,4004.12882277224,7.705852,32.256,3.66,4119.4
17167,6,1,2800,4605.91947426509,7.378642,32.859,1.93,4526.6
17172,5,3,900,3551.24533743508,7.730839,32.081,3.43,3670.0
17180,5,3,900,9822.33837888192,7.730839,32.081,9.49,10086.4
17188,6,3,2800,3744.33320197905,7.359558,32.081,1.48,3669.7
17214,5,2,900,7949.94,7.739234,32.222,7.86,8181.9
