"","bivalve_ID","Date","shelf","tank","experiment_stage","timepoint","treatment","epf_ph","discolored","TankID","DateWC","PCO2","Sal_Corr","pH","Temp","Collection_Code","pHadj","day_code","day_coden"
"1",17001,2017-07-24,1,3,"exposure","Experiment_6","400",7.230326296,"no",3,2017-07-24,400,30.60980881,7.794285714,18.3,"RSI",-0.563959418,76,76
"2",17002,2017-05-09,2,2,"acclimation","Acclimation_1","acclimation",7.44486656,"no",5,2017-05-08,400,30.05552144,7.840225564,16.6,"RRR",-0.395359003999999,0,0
"3",17003,2017-05-17,4,2,"acclimation","Acclimation_2","acclimation",7.459724951,"no",11,2017-05-17,2800,29.34135435,7.780669145,18.6,"ILIV",-0.320944194,8,8
"4",17005,2017-08-24,2,2,"exposure","Experiment_7","400",6.84675835,"no",5,2017-08-23,400,31.59592727,7.705223881,19,"RRR",-0.858465531,107,107
"5",17006,2017-05-17,3,2,"acclimation","Acclimation_2","acclimation",7.300589391,"no",8,2017-05-17,900,29.34135435,7.752788104,16.9,"ILIV",-0.452198713,8,8
"6",17007,2017-08-22,1,2,"exposure","Experiment_7","400",7.455279862,"no",2,2017-08-21,400,31.22782979,7.836431227,19.5,"RSI",-0.381151365,105,105
"7",17008,2017-06-26,2,2,"exposure","Experiment_5","400",6.672413793,"yes",5,2017-06-26,400,31.279486,7.960893855,17.1,"RRR",-1.288480062,48,48
"8",17009,2017-05-09,6,3,"acclimation","Acclimation_1","acclimation",7.336501768,"no",18,2017-05-08,2800,29.98902692,7.789473684,15.4,"ILIV",-0.452971916,0,0
"9",17010,2017-06-02,5,2,"exposure","Experiment_1","900",7.403824511,"no",14,2017-06-02,900,29.4303335628,7.719101124,17.4,"RSI",-0.315276613,24,24
"10",17011,2017-06-05,5,2,"exposure","Experiment_2","900",7.086372195,"no",14,2017-06-05,900,30.52271327,7.540337711,18,"RRR",-0.453965516,27,27
"11",17012,2017-08-22,3,1,"exposure","Experiment_7","900",7.472590883,"no",7,2017-08-21,900,31.22782979,7.55204461,19.4,"ILIV",-0.0794537270000006,105,105
"12",17013,2017-06-13,2,2,"exposure","Experiment_4","400",7.385795805,"no",5,2017-06-12,400,30.26308028,7.820267686,17.8,"RSI",-0.434471881,35,35
