sample_name	sample_index	treatment	timepoint	shelf	tank	tankID	population	extraction_order	seq_order	lane	gw_tapestation_RINe	gw_tapestation_conc	read_num	dry_wgtcorr	epf_pH
RNA17005	1	400	6	1	1	1	2	21	22	2	8.3	50.2	40080928	0.715	6.84675835
RNA17007	2	400	6	1	2	2	1	17	10	1	9	75.9	42806943	0.177	7.455279862
RNA17013	3	400	3	2	2	5	1	11	5	1	8.7	46.1	42332976	1.11	7.385795805
RNA17019	4	2800	6	4	3	9	2	14	20	2	8.9	61.4	45046863	0.707	7.149451818
RNA17069	5	400	3	1	1	1	3	3	1	1	8.4	41.3	42702450	1.04	7.81765678
RNA17070	6	400	3	1	2	2	1	7	13	2	9.5	71.9	41410387	1.25	6.786948586
RNA17072	7	2800	3	4	3	9	2	16	19	2	9.3	40.9	37026936	1.43	7.616121658
RNA17079	8	400	6	2	3	6	2	13	18	2	9.3	59	42141967	0.614	7.449509521
RNA17090	9	2800	3	6	2	11	1	8	15	2	9.3	64.5	38056474	1.24	7.420344683
RNA17094	10	2800	6	6	2	11	3	6	16	2	9.4	30.9	36832035	2.372	7.172533179
RNA17099	11	400	6	1	3	3	2	1	2	1	9	33.4	41411209	0.879	7.668782458
RNA17108	12	2800	3	6	3	12	3	4	3	1	7.4	40.9	36354214	1.06	7.633396097
RNA17122	13	2800	3	4	1	7	3	20	11	1	8.5	41.9	39911842	1.36	7.857963804
RNA17130	14	2800	6	6	3	12	2	2	4	1	8.7	49	37595762	0.299	7.097518754
RNA17142	15	2800	3	6	1	10	2	12	7	1	9.3	74.4	36773848	0.4	7.811898634
RNA17145	16	2800	6	6	1	10	3	18	12	1	9.4	49.3	39763769	0.361	6.9186382
RNA17162	17	400	3	2	3	6	2	23	21	2	9.2	53.5	37805565	0.91	7.570056487
RNA17174	18	400	3	1	3	3	2	19	9	1	9.1	76	44648343	0.31	7.75431717
RNA17176	19	400	3	2	1	4	3	15	17	2	9	45.8	42084075	0.67	7.132437366
RNA17178	20	2800	6	4	2	8	1	10	8	1	7.5	59.8	36149105	1.011	7.091748413
RNA17181	21	2800	3	4	2	8	1	24	23	2	9.9	68.7	37853708	0.81	7.506716878
RNA17203	22	400	6	2	1	4	3	9	6	1	8.7	47.9	38453143	0.186	7.484131564
RNA17211	23	400	6	2	2	5	1	5	14	2	9.2	53.1	37888433	0.693	7.709174841
RNA17213	24	2800	6	4	1	7	3	22	24	2	9.4	30.3	38842784	0.937	6.872475476
