"RNA17005" "RNA17007" "RNA17013" "RNA17019" "RNA17069" "RNA17070" "RNA17072" "RNA17079" "RNA17090" "RNA17094" "RNA17099" "RNA17108" "RNA17122" "RNA17130" "RNA17142" "RNA17145" "RNA17162" "RNA17174" "RNA17176" "RNA17178" "RNA17181" "RNA17203" "RNA17211" "RNA17213"
"LOC111099029" 0 1 0 3 0 0 1 0 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1
"LOC111099030" 0 0 2 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 2 3 0 1 4
"LOC111099031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"LOC111099032" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099033" 0 0 1 0 1 1 0 0 0 0 1 0 1 0 2 3 3 2 1 2 1 3 4 1
"LOC111099034" 1 4 0 1 4 2 5 1 4 5 1 1 2 0 0 10 6 2 0 0 2 0 5 4
"LOC111099035" 0 0 2 4 2 0 0 0 0 2 0 2 4 1 0 0 3 0 0 0 0 0 2 3
"LOC111099036" 2 0 5 0 1 2 0 0 1 2 3 2 1 2 2 2 0 0 2 0 1 2 3 0
"LOC111099037" 0 0 5 1 5 1 3 2 0 0 2 0 0 0 0 0 3 0 0 0 2 0 8 0
"LOC111099038" 0 2 7 0 2 3 3 0 1 0 0 5 2 2 3 0 1 3 0 1 0 1 1 0
"LOC111099039" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
"LOC111099040" 6 15 7 6 21 18 11 13 12 12 21 18 28 3 8 11 7 14 14 7 5 9 9 16
"LOC111099041" 0 0 1 1 0 0 3 0 0 0 0 0 0 8 1 5 2 5 0 1 11 0 2 0
"LOC111099042" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099043" 4 0 3 5 2 3 1 1 4 3 2 3 2 1 7 3 0 4 4 3 0 1 2 0
"LOC111099044" 1 4 5 1 0 0 0 1 0 2 1 0 1 0 8 1 0 1 1 1 1 0 2 0
"LOC111099045" 1 0 0 0 2 0 2 5 1 0 1 0 4 0 0 0 1 1 0 0 0 2 0 2
"LOC111099046" 0 0 2 0 1 1 0 1 4 0 7 0 1 0 1 0 0 1 0 0 2 0 1 0
"LOC111099047" 2 3 2 1 8 0 1 1 6 4 7 2 1 9 2 3 1 1 0 1 3 0 3 2
"LOC111099048" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099049" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099050" 2 5 4 0 2 5 2 1 2 4 4 1 3 1 0 1 4 6 2 2 2 4 4 3
"LOC111099051" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099052" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099053" 14 10 7 9 9 7 1 10 4 15 17 9 6 9 5 12 7 13 14 7 4 6 11 14
"LOC111099054" 3 0 1 0 0 0 0 1 1 1 0 2 0 0 0 0 1 0 0 0 0 0 3 0
"LOC111099055" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"LOC111099056" 1 0 1 1 0 0 0 0 0 0 1 0 5 2 0 0 1 0 2 0 0 0 4 0
"LOC111099057" 1 1 2 0 1 0 4 1 1 3 0 5 3 2 2 0 2 7 3 7 2 3 1 3
"LOC111099058" 2 4 0 2 4 2 2 0 0 1 1 0 0 2 2 1 1 0 6 3 1 2 1 1
"LOC111099059" 15 4 13 9 7 6 7 6 0 6 7 0 4 12 8 0 19 6 2 11 3 7 15 7
"LOC111099060" 2 0 0 0 4 0 0 0 1 2 0 1 0 1 0 0 1 1 0 2 0 0 1 2
"LOC111099061" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
"LOC111099062" 1 0 0 4 1 0 1 1 1 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC111099063" 3 4 3 4 2 6 2 5 5 6 3 4 2 4 2 1 5 10 7 5 7 9 7 10
"LOC111099064" 18 0 2 0 7 0 4 6 1 5 2 1 0 0 1 0 2 1 0 1 0 4 1 12
"LOC111099065" 0 0 1 0 1 2 6 3 0 1 0 0 0 0 1 0 0 1 4 1 0 0 1 0
"LOC111099066" 3 3 0 13 1 4 17 2 8 1 11 3 3 1 2 0 2 34 2 2 0 1 1 6
"LOC111099067" 12 32 103 15 32 18 20 20 15 20 33 13 16 60 14 13 17 23 22 11 13 22 20 26
"LOC111099068" 0 1 2 1 17 0 1 10 1 2 2 1 2 0 1 7 2 0 0 1 0 7 0 3
"LOC111099069" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
