"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111099040",2.58496250072116,3.90689059560852,2.8073549220576,2.58496250072116,4.39231742277876,4.16992500144231,3.4594316186373,3.70043971814109,3.58496250072116,3.58496250072116,4.39231742277876,4.16992500144231,4.8073549220576,1.58496250072116,3,3.4594316186373,2.8073549220576,3.8073549220576,3.8073549220576,2.8073549220576,2.32192809488736,3.16992500144231,3.16992500144231,4
"LOC111099053",3.8073549220576,3.32192809488736,2.8073549220576,3.16992500144231,3.16992500144231,2.8073549220576,0,3.32192809488736,2,3.90689059560852,4.08746284125034,3.16992500144231,2.58496250072116,3.16992500144231,2.32192809488736,3.58496250072116,2.8073549220576,3.70043971814109,3.8073549220576,2.8073549220576,2,2.58496250072116,3.4594316186373,3.8073549220576
"LOC111099063",1.58496250072116,2,1.58496250072116,2,1,2.58496250072116,1,2.32192809488736,2.32192809488736,2.58496250072116,1.58496250072116,2,1,2,1,0,2.32192809488736,3.32192809488736,2.8073549220576,2.32192809488736,2.8073549220576,3.16992500144231,2.8073549220576,3.32192809488736
"LOC111099067",3.58496250072116,5,6.68650052718322,3.90689059560852,5,4.16992500144231,4.32192809488736,4.32192809488736,3.90689059560852,4.32192809488736,5.04439411935845,3.70043971814109,4,5.90689059560852,3.8073549220576,3.70043971814109,4.08746284125034,4.52356195605701,4.4594316186373,3.4594316186373,3.70043971814109,4.4594316186373,4.32192809488736,4.70043971814109
"LOC111099071",3,2.58496250072116,1,2.32192809488736,3,1.58496250072116,1.58496250072116,0,1.58496250072116,3.58496250072116,3,3.16992500144231,2.32192809488736,2,2.58496250072116,2.58496250072116,1.58496250072116,3,2,2.58496250072116,2,1,1,2.8073549220576
"LOC111099079",3.58496250072116,2.58496250072116,3,2.58496250072116,4.39231742277876,2.58496250072116,1.58496250072116,3.16992500144231,2.32192809488736,2.8073549220576,3.32192809488736,2,2.8073549220576,0,1,2.32192809488736,3.70043971814109,2.32192809488736,3.4594316186373,1.58496250072116,3,3.4594316186373,3.58496250072116,3.58496250072116
"LOC111099088",4.70043971814109,5.16992500144231,3.32192809488736,5.32192809488736,4,3.8073549220576,4.32192809488736,5.4262647547021,3.8073549220576,2.58496250072116,3.32192809488736,3,3.4594316186373,4.4594316186373,3.4594316186373,3.58496250072116,4.24792751344359,5.39231742277876,1,3.4594316186373,3.16992500144231,4.08746284125034,3.4594316186373,5.08746284125034
"LOC111099090",3.58496250072116,5.61470984411521,5.28540221886225,2.8073549220576,3.90689059560852,5.4594316186373,3.90689059560852,4.75488750216347,3.58496250072116,4.70043971814109,5.20945336562895,3.4594316186373,4.95419631038687,4.8073549220576,4.39231742277876,4.32192809488736,4.24792751344359,5.64385618977472,3.16992500144231,4.32192809488736,2.8073549220576,3.58496250072116,4.90689059560852,5.58496250072116
"LOC111099101",4.08746284125034,3.8073549220576,3.16992500144231,2,5.16992500144231,4.32192809488736,3.16992500144231,2,2,3,2.58496250072116,3.16992500144231,4.24792751344359,3,3.16992500144231,3.90689059560852,4.08746284125034,4.52356195605701,3.4594316186373,4,3,3.90689059560852,4.85798099512757,3.70043971814109
"LOC111099102",1,2.58496250072116,0,2.32192809488736,5.8073549220576,1.58496250072116,1.58496250072116,1,2.58496250072116,2,2.32192809488736,1.58496250072116,1.58496250072116,0,2,4.16992500144231,0,5.6724253419715,1.58496250072116,4.95419631038687,1.58496250072116,0,1.58496250072116,4.52356195605701
"LOC111099104",4.4594316186373,2.32192809488736,4.16992500144231,2.32192809488736,3.4594316186373,3,2.32192809488736,2,1.58496250072116,1,3.58496250072116,2.32192809488736,2,2,1.58496250072116,2,1.58496250072116,2.8073549220576,4.4594316186373,1,2,3.16992500144231,3.8073549220576,3.16992500144231
"LOC111099143",5.20945336562895,5.32192809488736,5.58496250072116,4.24792751344359,5.83289001416474,5.35755200461808,4.24792751344359,4.95419631038687,5.28540221886225,6.02236781302845,5.39231742277876,5.24792751344359,4.39231742277876,3.32192809488736,5.08746284125034,4.64385618977472,4.32192809488736,4.95419631038687,5.35755200461808,4.70043971814109,5.20945336562895,5.12928301694497,5.16992500144231,5.97727992349992
"LOC111099172",4.4594316186373,3,1.58496250072116,1.58496250072116,2.8073549220576,3.16992500144231,3.4594316186373,1,3,3.32192809488736,3.32192809488736,2.32192809488736,3.90689059560852,2.8073549220576,3.32192809488736,2.8073549220576,2.8073549220576,3.8073549220576,3.90689059560852,2.8073549220576,1.58496250072116,2.58496250072116,3.32192809488736,4.52356195605701
"LOC111099194",4.24792751344359,3.58496250072116,4.58496250072116,3.16992500144231,5.28540221886225,4.39231742277876,4.4594316186373,4,4.58496250072116,4.32192809488736,4.85798099512757,4.52356195605701,5.8073549220576,4.08746284125034,3.58496250072116,3.70043971814109,3.32192809488736,4.85798099512757,4.52356195605701,4.75488750216347,4.24792751344359,4.32192809488736,3.8073549220576,5.28540221886225
"LOC111099217",4.08746284125034,3.58496250072116,3.90689059560852,4.39231742277876,3.90689059560852,1,0,0,3.16992500144231,2.58496250072116,4.95419631038687,3.32192809488736,2.8073549220576,4.64385618977472,4.95419631038687,5.6724253419715,2,4.8073549220576,2,2.32192809488736,0,1,2.58496250072116,1
"LOC111099218",2.58496250072116,2.8073549220576,2,2,3,3,0,1,2.8073549220576,2,2.32192809488736,2,2.58496250072116,2.32192809488736,3.16992500144231,1.58496250072116,1,4.08746284125034,2.32192809488736,2.8073549220576,2.32192809488736,2.8073549220576,3.4594316186373,2.32192809488736
"LOC111099220",4.16992500144231,4.16992500144231,4.52356195605701,3.70043971814109,2.32192809488736,2.8073549220576,3.70043971814109,3.32192809488736,2.58496250072116,4.08746284125034,3,4.39231742277876,3.58496250072116,3.90689059560852,3.4594316186373,4.52356195605701,3.16992500144231,3.90689059560852,3.4594316186373,4.08746284125034,2.58496250072116,4.52356195605701,1,3.32192809488736
"LOC111099221",3,2.32192809488736,2.58496250072116,2.32192809488736,2,2.32192809488736,3.4594316186373,2.58496250072116,2.58496250072116,1,2.58496250072116,3.90689059560852,2.58496250072116,1.58496250072116,2,3,2,3.16992500144231,3,2.32192809488736,2.8073549220576,3.16992500144231,3.32192809488736,3.4594316186373
"LOC111099222",0,1.58496250072116,1.58496250072116,2.32192809488736,2.32192809488736,1.58496250072116,0,1,2.32192809488736,2,0,1.58496250072116,1.58496250072116,1.58496250072116,1,1,1.58496250072116,3,2.32192809488736,1,1,1.58496250072116,3.32192809488736,1.58496250072116
"LOC111099289",0,1,2.8073549220576,2,3.32192809488736,1,2.58496250072116,3,2.8073549220576,3,3,1,2.32192809488736,1.58496250072116,2.58496250072116,1.58496250072116,1,3,5.12928301694497,1,2,1.58496250072116,1,0
"LOC111099343",2,2.32192809488736,1.58496250072116,0,1.58496250072116,2,0,1.58496250072116,1,2,3,0,0,2,1.58496250072116,2.8073549220576,2,1,2.58496250072116,2.58496250072116,1.58496250072116,2.32192809488736,1,1.58496250072116
"LOC111099410",4.08746284125034,3.16992500144231,4.75488750216347,4.32192809488736,4.8073549220576,4,3.32192809488736,2.32192809488736,4.70043971814109,3.8073549220576,3.58496250072116,4.16992500144231,2.8073549220576,2.58496250072116,4,3,4.16992500144231,4.16992500144231,4.08746284125034,2.32192809488736,4.58496250072116,4.4594316186373,3.32192809488736,2.8073549220576
"LOC111099426",3.4594316186373,3.58496250072116,4.24792751344359,3.8073549220576,4.85798099512757,4.4594316186373,3.4594316186373,2.58496250072116,2,3.32192809488736,5.04439411935845,2.8073549220576,3,2.8073549220576,3.58496250072116,3.58496250072116,3,2.8073549220576,5.49185309632967,3.4594316186373,3.32192809488736,4.39231742277876,3.32192809488736,3.58496250072116
"LOC111099427",2.58496250072116,2,1,2,3.4594316186373,2.8073549220576,2,0,3.16992500144231,2,3,1.58496250072116,3.32192809488736,1,1,1.58496250072116,0,0,2.58496250072116,1,2,3.16992500144231,2,2.8073549220576
