"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111099040",5.52848483078578,6.57891994887217,5.57744777555504,5.45285727787136,6.87274303244548,6.95243308924578,6.43442181156151,6.55518186776847,6.37254526449541,6.51752819847916,7.17152560295267,7.10640564164731,7.45777382653078,4.66092908974305,6.10783840627121,6.46734469676791,5.76347105320362,6.28957135751468,6.64860998244165,6.02494098897262,5.61818304733105,6.08132003366026,6.11305997057805,6.64637654861789
"LOC111099053",6.68602610777226,6.01704106126406,5.57744777555504,6.00034507317386,5.69440579118696,5.64987031922534,3.49582235622565,6.19261178838376,4.898614076163,6.82786831909131,6.87454386519554,6.14487978946195,5.32532353050713,6.10150168112903,5.47980718365817,6.58763893048563,5.76347105320362,6.18647786455058,6.64860998244165,6.02494098897262,5.32867643013606,5.53383223835777,6.38869441319147,6.45996342438701
"LOC111099063",4.63540003470229,4.79464863992761,4.47791210200413,4.92234256117259,3.76840637263074,5.44341944175792,4.23278795039186,5.25972598424229,5.18812069335798,5.57411172684553,4.55261577030818,5.06687727746067,3.9468119072534,5.02349916912776,4.34230365990824,3.52874524143206,5.3160120762324,5.82390778516587,5.69751958292259,5.5774820120014,6.06564202430227,6.08132003366026,5.77202305274298,5.99429985203819
"LOC111099067",6.47190130241941,7.64709145151375,9.36404413744585,6.70661387011715,7.46884609077183,6.95243308924578,7.26841186012258,7.15784637022308,6.68288538510756,7.23122401332252,7.81135003870834,6.65183977818183,6.66927793172449,8.77243740496004,6.87835656014845,6.69867024287437,6.98586347454007,6.98617921406475,7.28248208364375,6.64161234942112,6.91363893085722,7.32524561654635,7.22268446175254,7.32990288382263
"LOC111099071",5.91550795389503,5.32516335662639,3.99248527483389,5.21184917836757,5.53394111899372,4.55033464567443,4.7182147775621,3.38525686632615,4.53604399677829,6.51752819847916,5.83272368950091,6.14487978946195,5.08431543100333,5.02349916912776,5.72081528316196,5.64422245885199,4.66393537965271,5.51905320363745,4.96055398875639,5.8184901115052,5.32867643013606,4.15532061510404,4.18706055202182,5.50887302486795
"LOC111099079",6.47190130241941,5.32516335662639,5.75802002119686,5.45285727787136,6.87274303244548,5.44341944175792,4.7182147775621,6.04822187904858,5.18812069335798,5.78056260431296,6.13757827102933,5.06687727746067,5.53177440797455,3.4385366684066,4.34230365990824,5.4032143593482,6.61146795975857,4.89102198102441,6.31419094337109,4.92540531542171,6.24621426994409,6.35695447627369,6.50898864690918,6.24583861903416
"LOC111099088",7.55596556720789,7.81454819736531,6.06287460272528,8.0922675626149,6.49087239710183,6.6009607187444,7.26841186012258,8.24323786145372,6.58667006984826,5.57411172684553,6.13757827102933,5.9844151172687,6.14844576842305,7.34542726401512,6.54393752107789,6.58763893048563,7.14198267645735,7.84098129852481,4.11255708220144,6.64161234942112,6.40667894213734,6.96267553716164,6.38869441319147,7.7105068860376
"LOC111099090",6.47190130241941,8.25408025856491,7.97433792812363,5.65930815533879,6.40067458813025,8.21871315458322,6.86505616589137,7.58165407912966,6.37254526449541,7.60159246326764,7.97407953874645,6.42051423207537,7.60216373586595,7.68646418185019,7.44664031972297,7.30133474532898,7.14198267645735,8.0898018451389,6.03855650075766,7.47560239798219,6.06564202430227,6.4772487099914,7.79586979469735,8.20189527144656
"LOC111099101",6.95732812958965,6.48270463361287,5.91848469339011,4.92234256117259,7.6363028366234,7.10053172823491,6.15878736894808,4.97021936704731,4.898614076163,5.96113484995478,5.44570056639166,6.14487978946195,6.91028603122828,5.94103700893578,6.26830307846446,6.89797905109778,6.98586347454007,6.98617921406475,6.31419094337109,7.16244451272256,6.24621426994409,6.78758883060355,7.7477755064963,6.3568699314229
"LOC111099102",4.14997320753205,5.32516335662639,3.25551968066768,5.21184917836757,8.26665724015857,4.55033464567443,4.7182147775621,4.12222246049236,5.42912879286178,5.04359701014675,5.20469246688787,4.70430719807596,4.43223873442364,3.4385366684066,5.19030056646319,7.15323610633985,3.44154295831626,8.11809088957033,4.59798390937168,8.09533031686402,4.96610635075136,3.41835502093783,4.67248737919206,7.15657128093707
